iter	Logloss
0	0.6846176537
1	0.6769135939
2	0.6697795816
3	0.6639947852
4	0.6571491875
5	0.6513521496
6	0.6452067713
7	0.6393345477
8	0.6342461222
9	0.6290807063
10	0.6238367568
11	0.6183409024
12	0.6132458324
13	0.6081399189
14	0.6022270968
15	0.5979559372
16	0.5934990399
17	0.58983916
18	0.586031244
19	0.5818355463
20	0.5777875727
21	0.5734900972
22	0.5694091408
23	0.5661158314
24	0.5626951927
25	0.559139813
26	0.5562427194
27	0.5531231668
28	0.5493202454
29	0.5463354438
30	0.5435107929
31	0.5409253966
32	0.5387368046
33	0.536266842
34	0.5332879168
35	0.5319493082
36	0.5299032388
37	0.5267580215
38	0.5239886826
39	0.5205599118
40	0.517370736
41	0.5153800534
42	0.5130428865
43	0.5107106731
44	0.5065930131
45	0.5052599722
46	0.5027081222
47	0.5005950669
48	0.4984301982
49	0.4960896899
50	0.4940495345
51	0.4904289944
52	0.4881042255
53	0.4872644708
54	0.4853571142
55	0.483075787
56	0.4809162032
57	0.479107704
58	0.4774781544
59	0.4751870031
60	0.473272649
61	0.4715614918
62	0.47015617
63	0.4683472358
64	0.4660177753
65	0.4639805421
66	0.462248123
67	0.4610061548
68	0.4593512642
69	0.4570420838
70	0.4549176274
71	0.4526082992
72	0.4509967548
73	0.449760886
74	0.4479118863
75	0.4464221053
76	0.4439945035
77	0.4415011092
78	0.440403295
79	0.4384268405
80	0.4359159647
81	0.4339787096
82	0.4325038064
83	0.4311728489
84	0.4299152131
85	0.427727549
86	0.425988243
87	0.4246065315
88	0.4224837597
89	0.4205679314
90	0.4193030127
91	0.4181080602
92	0.416544054
93	0.4153562176
94	0.4133515314
95	0.4118299224
96	0.4111093362
97	0.4100660494
98	0.4081708185
99	0.4071173653
100	0.406077389
101	0.404384801
102	0.403556673
103	0.4018479517
104	0.4000669373
105	0.3985917768
106	0.3978951558
107	0.3970192576
108	0.3962941665
109	0.3943405987
110	0.3936840541
111	0.3913728627
112	0.3899513171
113	0.3883392297
114	0.386916627
115	0.3856258174
116	0.3840502567
117	0.3833137576
118	0.3820144706
119	0.3804174827
120	0.3787084346
121	0.3775534739
122	0.3756075055
123	0.3744673217
124	0.373376416
125	0.371786637
126	0.3703684266
127	0.3694955912
128	0.368532679
129	0.367574168
130	0.3666406101
131	0.3655056665
132	0.364507433
133	0.3632709106
134	0.3623358654
135	0.3614134799
136	0.359944839
137	0.3585811775
138	0.3571252424
139	0.3563615091
140	0.3546296191
141	0.3534961109
142	0.3528679508
143	0.3510407835
144	0.3499990133
145	0.3489745496
146	0.3479554134
147	0.3473166954
148	0.3460438762
149	0.3448666584
150	0.3440355323
151	0.3428033531
152	0.3413681766
153	0.3396949306
154	0.3390219967
155	0.3377978394
156	0.3364699347
157	0.3356251083
158	0.3343600258
159	0.3331133023
160	0.3320263451
161	0.3310783705
162	0.3298566703
163	0.3287919888
164	0.3277389615
165	0.3270269676
166	0.3264535834
167	0.3250731197
168	0.323307001
169	0.3226645581
170	0.3217657118
171	0.3204521372
172	0.3195155719
173	0.3179299399
174	0.31709021
175	0.3155009926
176	0.3144801737
177	0.3139468249
178	0.3130357955
179	0.3119904394
180	0.311182377
181	0.3101783943
182	0.3090239703
183	0.3084267443
184	0.3079987486
185	0.3071637916
186	0.3060954451
187	0.3053888774
188	0.3048546975
189	0.303700068
190	0.3024105404
191	0.3014293412
192	0.3005721304
193	0.299658207
194	0.2986221901
195	0.2976906229
196	0.2972820347
197	0.2954853893
198	0.2943866775
199	0.2933171621
200	0.291874347
201	0.291606562
202	0.2911136995
203	0.289995297
204	0.2888759277
205	0.2883391192
206	0.2869585277
207	0.2859020792
208	0.2850014367
209	0.2842299723
210	0.2831208627
211	0.282394726
212	0.2814687444
213	0.2808945531
214	0.2800671289
215	0.2789496853
216	0.2781052267
217	0.2771001644
218	0.2759054438
219	0.2750734048
220	0.2737706259
221	0.2731330901
222	0.2719379042
223	0.2707669959
224	0.27023742
225	0.2697415059
226	0.2688843865
227	0.2682971166
228	0.2674730606
229	0.2668233395
230	0.2653707467
231	0.2648265438
232	0.2639893508
233	0.2633075268
234	0.2622497466
235	0.261383673
236	0.2600151554
237	0.2586400303
238	0.2576907642
239	0.2570353533
240	0.2556486932
241	0.2549724623
242	0.2538380755
243	0.2529560136
244	0.2519051816
245	0.2510712695
246	0.25004389
247	0.2494011457
248	0.2487127641
249	0.2481101884
250	0.2476213304
251	0.2469401966
252	0.2461405109
253	0.2448831332
254	0.2445477294
255	0.2433395793
256	0.2424993702
257	0.241715432
258	0.240530631
259	0.239596376
260	0.238671257
261	0.2377672962
262	0.237026661
263	0.2364414701
264	0.2355989296
265	0.2347922836
266	0.234198818
267	0.2335532374
268	0.2327348764
269	0.2320395106
270	0.2313199689
271	0.2307938502
272	0.2299962645
273	0.2293820218
274	0.2284290401
275	0.2276746296
276	0.2267697658
277	0.2261382263
278	0.2252318914
279	0.2244891775
280	0.2236355367
281	0.2227060965
282	0.2221769924
283	0.2217910111
284	0.2211736233
285	0.2203669035
286	0.2195086559
287	0.218319655
288	0.2179470866
289	0.2170546506
290	0.2163639278
291	0.2154739734
292	0.2146884952
293	0.2142154132
294	0.2138316062
295	0.213098598
296	0.2120924371
297	0.2113357592
298	0.2106386659
299	0.2092877063
